,content,generated,question,answer
0,"Формирование Стратегии 2030 осуществлялось на основе анализа устойчивых тенденций социально-экономического развития Санкт-Петербурга, а также с учетом результатов социально-экономического развития Санкт-Петербурга в 2012-2013 годах.
Представленная в Стратегии 2030 система целей социально-экономического развития Санкт-Петербурга структурирована по четырем уровням: генеральная цель определяет 4 стратегических направления, в рамках которых сформированы 17 стратегических целей, исходя из содержания которых сформулированы программно-целевые установки. Всего в Стратегии 2030 сформулированы 114 целей социально-экономического развития Санкт-Петербурга различных уровней, каждой из которых, кроме генеральной, соответствуют целевые показатели, характеризующие степень их достижения.
Генеральной целью Стратегии 2030 является обеспечение стабильного улучшения качества жизни горожан и повышение глобальной конкурентоспособности Санкт-Петербурга на основе реализации национальных приоритетов развития, обеспечения устойчивого экономического роста и использования результатов инновационно-технологической деятельности.
","{'question': 'На основе чего формировалась Стратегия 2030?', 'answer': 'На основе анализа устойчивых тенденций социально-экономического развития Санкт-Петербурга и с учетом результатов социально-экономического развития Санкт-Петербурга в 2012-2013 годах.'}",На основе чего формировалась Стратегия 2030?,На основе анализа устойчивых тенденций социально-экономического развития Санкт-Петербурга и с учетом результатов социально-экономического развития Санкт-Петербурга в 2012-2013 годах.
0,"Формирование Стратегии 2030 осуществлялось на основе анализа устойчивых тенденций социально-экономического развития Санкт-Петербурга, а также с учетом результатов социально-экономического развития Санкт-Петербурга в 2012-2013 годах.
Представленная в Стратегии 2030 система целей социально-экономического развития Санкт-Петербурга структурирована по четырем уровням: генеральная цель определяет 4 стратегических направления, в рамках которых сформированы 17 стратегических целей, исходя из содержания которых сформулированы программно-целевые установки. Всего в Стратегии 2030 сформулированы 114 целей социально-экономического развития Санкт-Петербурга различных уровней, каждой из которых, кроме генеральной, соответствуют целевые показатели, характеризующие степень их достижения.
Генеральной целью Стратегии 2030 является обеспечение стабильного улучшения качества жизни горожан и повышение глобальной конкурентоспособности Санкт-Петербурга на основе реализации национальных приоритетов развития, обеспечения устойчивого экономического роста и использования результатов инновационно-технологической деятельности.
","{'question': 'Как структурирована система целей Стратегии 2030?', 'answer': 'Система целей структурирована по четырем уровням: генеральная цель определяет 4 стратегических направления, в рамках которых сформированы 17 стратегических целей, исходя из содержания которых сформулированы программно-целевые установки.'}",Как структурирована система целей Стратегии 2030?,"Система целей структурирована по четырем уровням: генеральная цель определяет 4 стратегических направления, в рамках которых сформированы 17 стратегических целей, исходя из содержания которых сформулированы программно-целевые установки."
0,"Формирование Стратегии 2030 осуществлялось на основе анализа устойчивых тенденций социально-экономического развития Санкт-Петербурга, а также с учетом результатов социально-экономического развития Санкт-Петербурга в 2012-2013 годах.
Представленная в Стратегии 2030 система целей социально-экономического развития Санкт-Петербурга структурирована по четырем уровням: генеральная цель определяет 4 стратегических направления, в рамках которых сформированы 17 стратегических целей, исходя из содержания которых сформулированы программно-целевые установки. Всего в Стратегии 2030 сформулированы 114 целей социально-экономического развития Санкт-Петербурга различных уровней, каждой из которых, кроме генеральной, соответствуют целевые показатели, характеризующие степень их достижения.
Генеральной целью Стратегии 2030 является обеспечение стабильного улучшения качества жизни горожан и повышение глобальной конкурентоспособности Санкт-Петербурга на основе реализации национальных приоритетов развития, обеспечения устойчивого экономического роста и использования результатов инновационно-технологической деятельности.
","{'question': 'Сколько целей сформулировано в Стратегии 2030?', 'answer': '114 целей.'}",Сколько целей сформулировано в Стратегии 2030?,114 целей.
0,"Формирование Стратегии 2030 осуществлялось на основе анализа устойчивых тенденций социально-экономического развития Санкт-Петербурга, а также с учетом результатов социально-экономического развития Санкт-Петербурга в 2012-2013 годах.
Представленная в Стратегии 2030 система целей социально-экономического развития Санкт-Петербурга структурирована по четырем уровням: генеральная цель определяет 4 стратегических направления, в рамках которых сформированы 17 стратегических целей, исходя из содержания которых сформулированы программно-целевые установки. Всего в Стратегии 2030 сформулированы 114 целей социально-экономического развития Санкт-Петербурга различных уровней, каждой из которых, кроме генеральной, соответствуют целевые показатели, характеризующие степень их достижения.
Генеральной целью Стратегии 2030 является обеспечение стабильного улучшения качества жизни горожан и повышение глобальной конкурентоспособности Санкт-Петербурга на основе реализации национальных приоритетов развития, обеспечения устойчивого экономического роста и использования результатов инновационно-технологической деятельности.
","{'question': 'Что является генеральной целью Стратегии 2030?', 'answer': 'Генеральной целью является обеспечение стабильного улучшения качества жизни горожан и повышение глобальной конкурентоспособности Санкт-Петербурга на основе реализации национальных приоритетов развития, обеспечения устойчивого экономического роста и использования результатов инновационно-технологической деятельности.'}",Что является генеральной целью Стратегии 2030?,"Генеральной целью является обеспечение стабильного улучшения качества жизни горожан и повышение глобальной конкурентоспособности Санкт-Петербурга на основе реализации национальных приоритетов развития, обеспечения устойчивого экономического роста и использования результатов инновационно-технологической деятельности."
0,"Формирование Стратегии 2030 осуществлялось на основе анализа устойчивых тенденций социально-экономического развития Санкт-Петербурга, а также с учетом результатов социально-экономического развития Санкт-Петербурга в 2012-2013 годах.
Представленная в Стратегии 2030 система целей социально-экономического развития Санкт-Петербурга структурирована по четырем уровням: генеральная цель определяет 4 стратегических направления, в рамках которых сформированы 17 стратегических целей, исходя из содержания которых сформулированы программно-целевые установки. Всего в Стратегии 2030 сформулированы 114 целей социально-экономического развития Санкт-Петербурга различных уровней, каждой из которых, кроме генеральной, соответствуют целевые показатели, характеризующие степень их достижения.
Генеральной целью Стратегии 2030 является обеспечение стабильного улучшения качества жизни горожан и повышение глобальной конкурентоспособности Санкт-Петербурга на основе реализации национальных приоритетов развития, обеспечения устойчивого экономического роста и использования результатов инновационно-технологической деятельности.
","{'question': 'Какие показатели характеризуют достижение целей в Стратегии 2030?', 'answer': 'Каждой цели, кроме генеральной, соответствуют целевые показатели, характеризующие степень их достижения.'}",Какие показатели характеризуют достижение целей в Стратегии 2030?,"Каждой цели, кроме генеральной, соответствуют целевые показатели, характеризующие степень их достижения."
1,"['Задачи государственной программы\nОбеспечение приоритета профилактики в сфере охраны здоровья и развития первичной медико-санитарной помощи.\nПовышение эффективности оказания специализированной, включая высокотехнологичную, медицинской помощи, скорой, в том числе скорой специализированной, медицинской помощи, медицинской эвакуации и паллиативной медицинской помощи.\nРазвитие и внедрение инновационных методов диагностики, профилактики и лечения.\nПовышение эффективности службы родовспоможения и детства.Развитие медицинской реабилитации населения и совершенствование системы санаторно-курортного лечения, в том числе детей.\nОбеспечение медицинской помощью неизлечимых больных, в том числе детей. Обеспечение системы здравоохранения высококвалифицированными и мотивированными кадрами.Региональные проекты, реализуемые в рамках государственной программы. Развитие экспорта медицинских услуг (город федерального значения Санкт-Петербург)\nБорьба с онкологическими заболеваниями (город федерального значения Санкт-Петербург)\nРазвитие системы оказания первичной медико-санитарной помощи (город федерального значения Санкт-Петербург)\nОбеспечение медицинских организаций системы здравоохранения квалифицированными кадрами (город федерального значения Санкт-Петербург)\nБорьба с сердечно-сосудистыми заболеваниями (город федерального значения Санкт-Петербург)\nМодернизация первичного звена здравоохранения Российской Федерации (город федерального значения Санкт-Петербург)\nСтаршее поколение (город федерального значения Санкт-Петербург)\nСоздание единого цифрового контура в здравоохранении на основе единой государственной информационной системы здравоохранения (ЕГИСЗ) (город федерального значения Санкт-Петербург)\nРазвитие детского здравоохранения, включая создание современной инфраструктуры оказания медицинской помощи детям (город федерального значения Санкт-Петербург)\nФормирование системы мотивации граждан к здоровому образу жизни, включая здоровое питание и отказ от вредных привычек (город федерально', 'го значения Санкт-Петербург)\n']","{'question': 'Какая из задач государственной программы направлена на повышение эффективности оказания специализированной и высокотехнологичной медицинской помощи?', 'answer': 'Повышение эффективности оказания специализированной, включая высокотехнологичную, медицинской помощи, скорой, в том числе скорой специализированной, медицинской помощи, медицинской эвакуации и паллиативной медицинской помощи.'}",Какая из задач государственной программы направлена на повышение эффективности оказания специализированной и высокотехнологичной медицинской помощи?,"Повышение эффективности оказания специализированной, включая высокотехнологичную, медицинской помощи, скорой, в том числе скорой специализированной, медицинской помощи, медицинской эвакуации и паллиативной медицинской помощи."
1,"['Задачи государственной программы\nОбеспечение приоритета профилактики в сфере охраны здоровья и развития первичной медико-санитарной помощи.\nПовышение эффективности оказания специализированной, включая высокотехнологичную, медицинской помощи, скорой, в том числе скорой специализированной, медицинской помощи, медицинской эвакуации и паллиативной медицинской помощи.\nРазвитие и внедрение инновационных методов диагностики, профилактики и лечения.\nПовышение эффективности службы родовспоможения и детства.Развитие медицинской реабилитации населения и совершенствование системы санаторно-курортного лечения, в том числе детей.\nОбеспечение медицинской помощью неизлечимых больных, в том числе детей. Обеспечение системы здравоохранения высококвалифицированными и мотивированными кадрами.Региональные проекты, реализуемые в рамках государственной программы. Развитие экспорта медицинских услуг (город федерального значения Санкт-Петербург)\nБорьба с онкологическими заболеваниями (город федерального значения Санкт-Петербург)\nРазвитие системы оказания первичной медико-санитарной помощи (город федерального значения Санкт-Петербург)\nОбеспечение медицинских организаций системы здравоохранения квалифицированными кадрами (город федерального значения Санкт-Петербург)\nБорьба с сердечно-сосудистыми заболеваниями (город федерального значения Санкт-Петербург)\nМодернизация первичного звена здравоохранения Российской Федерации (город федерального значения Санкт-Петербург)\nСтаршее поколение (город федерального значения Санкт-Петербург)\nСоздание единого цифрового контура в здравоохранении на основе единой государственной информационной системы здравоохранения (ЕГИСЗ) (город федерального значения Санкт-Петербург)\nРазвитие детского здравоохранения, включая создание современной инфраструктуры оказания медицинской помощи детям (город федерального значения Санкт-Петербург)\nФормирование системы мотивации граждан к здоровому образу жизни, включая здоровое питание и отказ от вредных привычек (город федерально', 'го значения Санкт-Петербург)\n']","{'question': 'Какие меры предпринимаются в рамках государственной программы для повышения эффективности службы родовспоможения и детства?', 'answer': 'Повышение эффективности службы родовспоможения и детства.'}",Какие меры предпринимаются в рамках государственной программы для повышения эффективности службы родовспоможения и детства?,Повышение эффективности службы родовспоможения и детства.
1,"['Задачи государственной программы\nОбеспечение приоритета профилактики в сфере охраны здоровья и развития первичной медико-санитарной помощи.\nПовышение эффективности оказания специализированной, включая высокотехнологичную, медицинской помощи, скорой, в том числе скорой специализированной, медицинской помощи, медицинской эвакуации и паллиативной медицинской помощи.\nРазвитие и внедрение инновационных методов диагностики, профилактики и лечения.\nПовышение эффективности службы родовспоможения и детства.Развитие медицинской реабилитации населения и совершенствование системы санаторно-курортного лечения, в том числе детей.\nОбеспечение медицинской помощью неизлечимых больных, в том числе детей. Обеспечение системы здравоохранения высококвалифицированными и мотивированными кадрами.Региональные проекты, реализуемые в рамках государственной программы. Развитие экспорта медицинских услуг (город федерального значения Санкт-Петербург)\nБорьба с онкологическими заболеваниями (город федерального значения Санкт-Петербург)\nРазвитие системы оказания первичной медико-санитарной помощи (город федерального значения Санкт-Петербург)\nОбеспечение медицинских организаций системы здравоохранения квалифицированными кадрами (город федерального значения Санкт-Петербург)\nБорьба с сердечно-сосудистыми заболеваниями (город федерального значения Санкт-Петербург)\nМодернизация первичного звена здравоохранения Российской Федерации (город федерального значения Санкт-Петербург)\nСтаршее поколение (город федерального значения Санкт-Петербург)\nСоздание единого цифрового контура в здравоохранении на основе единой государственной информационной системы здравоохранения (ЕГИСЗ) (город федерального значения Санкт-Петербург)\nРазвитие детского здравоохранения, включая создание современной инфраструктуры оказания медицинской помощи детям (город федерального значения Санкт-Петербург)\nФормирование системы мотивации граждан к здоровому образу жизни, включая здоровое питание и отказ от вредных привычек (город федерально', 'го значения Санкт-Петербург)\n']","{'question': 'Какие региональные проекты реализуются в Санкт-Петербурге в рамках государственной программы?', 'answer': 'Развитие экспорта медицинских услуг, борьба с онкологическими заболеваниями, развитие системы оказания первичной медико-санитарной помощи, обеспечение медицинских организаций системы здравоохранения квалифицированными кадрами, борьба с сердечно-сосудистыми заболеваниями, модернизация первичного звена здравоохран'}",Какие региональные проекты реализуются в Санкт-Петербурге в рамках государственной программы?,"Развитие экспорта медицинских услуг, борьба с онкологическими заболеваниями, развитие системы оказания первичной медико-санитарной помощи, обеспечение медицинских организаций системы здравоохранения квалифицированными кадрами, борьба с сердечно-сосудистыми заболеваниями, модернизация первичного звена здравоохран"
2,"Ожидаемые результаты реализации государственной программы
К 2029 году должен сложиться качественно новый уровень состояния жилищной сферы, характеризуемый следующими целевыми ориентирами:
оказание государственного содействия в улучшении жилищных условий в форме предоставления социальных выплат за счет средств бюджета Санкт-Петербурга и федерального бюджета в отношении 26113 петербургских семей;
расселение 6,08 тыс.кв.м аварийного жилищного фонда, признанного таковым до 01.01.2017, в рамках реализации первого этапа расселения аварийного жилищного фонда, и по второму этапу расселения аварийного жилищного фонда, признанного таковым в период с 01.01.2017 до 01.01.2022, переселение из него 0,38 тыс. человек и расселение 1,15 тыс.кв.м аварийного жилищного фонда, признанного таковым после 01.01.2017, переселение из него 0,113 тыс. человек;
формирование государственного жилищного фонда Санкт-Петербурга общей площадью 602,67 тыс.кв.м для предоставления жилых помещений 10,6 тыс. семей;
проведение капитального ремонта общего имущества по необходимым видам работ, включая мероприятия в области энергосбережения и повышения энергетической эффективности, в 81,5% многоквартирных домов от общего количества домов, включенных в региональную программу капитального ремонта общего имущества в многоквартирных домах в Санкт-Петербурге (далее - региональная программа);
повышение степени удовлетворенности населения Санкт-Петербурга уровнем жилищно-коммунального обслуживания до 67%;
достижение уровня доступности оплаты жилищно-коммунальных услуг гражданами.
","{'question': 'Сколько семей в Санкт-Петербурге получат государственное содействие в улучшении жилищных условий к 2029 году?', 'answer': '26113 петербургских семей'}",Сколько семей в Санкт-Петербурге получат государственное содействие в улучшении жилищных условий к 2029 году?,26113 петербургских семей
2,"Ожидаемые результаты реализации государственной программы
К 2029 году должен сложиться качественно новый уровень состояния жилищной сферы, характеризуемый следующими целевыми ориентирами:
оказание государственного содействия в улучшении жилищных условий в форме предоставления социальных выплат за счет средств бюджета Санкт-Петербурга и федерального бюджета в отношении 26113 петербургских семей;
расселение 6,08 тыс.кв.м аварийного жилищного фонда, признанного таковым до 01.01.2017, в рамках реализации первого этапа расселения аварийного жилищного фонда, и по второму этапу расселения аварийного жилищного фонда, признанного таковым в период с 01.01.2017 до 01.01.2022, переселение из него 0,38 тыс. человек и расселение 1,15 тыс.кв.м аварийного жилищного фонда, признанного таковым после 01.01.2017, переселение из него 0,113 тыс. человек;
формирование государственного жилищного фонда Санкт-Петербурга общей площадью 602,67 тыс.кв.м для предоставления жилых помещений 10,6 тыс. семей;
проведение капитального ремонта общего имущества по необходимым видам работ, включая мероприятия в области энергосбережения и повышения энергетической эффективности, в 81,5% многоквартирных домов от общего количества домов, включенных в региональную программу капитального ремонта общего имущества в многоквартирных домах в Санкт-Петербурге (далее - региональная программа);
повышение степени удовлетворенности населения Санкт-Петербурга уровнем жилищно-коммунального обслуживания до 67%;
достижение уровня доступности оплаты жилищно-коммунальных услуг гражданами.
","{'question': 'Сколько людей будут переселены из аварийного жилищного фонда, признанного таковым в период с 2017 по 2022 год?', 'answer': '0,38 тыс. человек'}","Сколько людей будут переселены из аварийного жилищного фонда, признанного таковым в период с 2017 по 2022 год?","0,38 тыс. человек"
